departmentId,category,subCategory,totalSeats
cs,GEN,GNGN,10
ce,GEN,GNGN,11
ece,GEN,GNGN,11
ee,GEN,GNGN,12
me,GEN,GNGN,7
mnc,GEN,GNGN,4
b_arch,GEN,GNGN,2
b_des,GEN,GNGN,13
bt,GEN,GNGN,27
ai_robotics,GEN,GNGN,0
cs,EWS,EWS,1
ce,EWS,EWS,2
ece,EWS,EWS,2
ee,EWS,EWS,2
me,EWS,EWS,1
mnc,EWS,EWS,0
b_arch,EWS,EWS,0
b_des,EWS,EWS,1
bt,EWS,EWS,1
ai_robotics,EWS,EWS,1
cs,SC,SC,1
ce,SC,SC,2
ece,SC,SC,2
ee,SC,SC,2
me,SC,SC,0
mnc,SC,SC,0
b_arch,SC,SC,0
b_des,SC,SC,1
bt,SC,SC,1
ai_robotics,SC,SC,1
cs,ST1,ST1,1
ce,ST1,ST1,1
ece,ST1,ST1,1
ee,ST1,ST1,1
me,ST1,ST1,0
mnc,ST1,ST1,0
b_arch,ST1,ST1,0
b_des,ST1,ST1,1
bt,ST1,ST1,1
ai_robotics,ST1,ST1,1
cs,ST2,ST2,1
ce,ST2,ST2,3
ece,ST2,ST2,3
ee,ST2,ST2,3
me,ST2,ST2,0
mnc,ST2,ST2,0
b_arch,ST2,ST2,0
b_des,ST2,ST2,1
bt,ST2,ST2,1
ai_robotics,ST2,ST2,1
cs,RBA,RBA,1
ce,RBA,RBA,3
ece,RBA,RBA,3
ee,RBA,RBA,3
me,RBA,RBA,2
mnc,RBA,RBA,0
b_arch,RBA,RBA,0
b_des,RBA,RBA,1
bt,RBA,RBA,1
ai_robotics,RBA,RBA,1
cs,RLAC,RLAC,1
ce,RLAC,RLAC,0
ece,RLAC,RLAC,0
ee,RLAC,RLAC,0
me,RLAC,RLAC,0
mnc,RLAC,RLAC,0
b_arch,RLAC,RLAC,0
b_des,RLAC,RLAC,0
bt,RLAC,RLAC,0
ai_robotics,RLAC,RLAC,0
cs,OBC,OBC,1
ce,OBC,OBC,0
ece,OBC,OBC,0
ee,OBC,OBC,0
me,OBC,OBC,0
mnc,OBC,OBC,0
b_arch,OBC,OBC,0
b_des,OBC,OBC,0
bt,OBC,OBC,0
ai_robotics,OBC,OBC,0
